"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC1005N","5877.953mil","1110.236mil","5877.953mil","1110.236mil","5901.575mil","1110.236mil","T","180.00","0.1uF, 25V, X5R"
"C2","CAPC1608N","6468.504mil","4035.433mil","6468.504mil","4035.433mil","6468.504mil","4066.929mil","B","270.00","10uF, 10V, X5R, 20%"
"C3","CAPC1608N","6503.937mil","3681.102mil","6503.937mil","3681.102mil","6535.433mil","3681.102mil","B","180.00","10uF, 10V, X5R, 20%"
"J1","FLEX_NAND_48TSOP","5905.512mil","3149.606mil","5905.512mil","3149.606mil","5563.976mil","3375.984mil","T","360.00","NAND footprint (DNP)"
"JP1","HRS_FX10A-80P/8-SV1(**)","5771.654mil","3937.008mil","5771.654mil","3937.008mil","6234.252mil","3834.646mil","B","180.00","FX10B-80P/8-SV1(**)"
"P1","FLEX_SD_SOLDERTAP","5912.894mil","866.142mil","5905.512mil","984.252mil","5634.842mil","885.827mil","T","360.00","Flex soldertap (DNP)"
"R1","RESC1005N","5877.953mil","1165.354mil","5877.953mil","1165.354mil","5901.575mil","1165.354mil","T","180.00","10k, 1%"
"R2","RESC1005N","6492.126mil","3625.984mil","6492.126mil","3625.984mil","6515.748mil","3625.984mil","B","180.00","100, 1%"
"U1","MP04A_N","6653.543mil","3881.89mil","6653.543mil","3881.89mil","6562.992mil","3996.063mil","B","270.00","LM1117MP-3.3"

